Site,Date,Time,Analyte,Result
SWB,12/20/2018,12:37,Temp,17.8
SWB,12/20/2018,12:37,DO_Sat,96.7
SWB,12/20/2018,12:37,DO,9.19
SWB,12/20/2018,12:37,SpCond,175.5
SWB,12/20/2018,12:37,pH,7.27
SWB,12/20/2018,12:37,Turb,27.38
HAT,12/20/2018,11:51,Temp,14.8
HAT,12/20/2018,11:51,DO_Sat,83.8
HAT,12/20/2018,11:51,DO,8.93
HAT,12/20/2018,11:51,SpCond,71.2
HAT,12/20/2018,11:51,pH,6.09
HAT,12/20/2018,11:51,Turb,2.63
HOGNW16,12/20/2018,11:11,Temp,17.1
HOGNW16,12/20/2018,11:11,DO_Sat,91.3
HOGNW16,12/20/2018,11:11,DO,8.81
HOGNW16,12/20/2018,11:11,SpCond,127.6
HOGNW16,12/20/2018,11:11,pH,7.35
HOGNW16,12/20/2018,11:11,Turb,30.47
POSNW16,12/20/2018,10:53,Temp,16.6
POSNW16,12/20/2018,10:53,DO_Sat,89.4
POSNW16,12/20/2018,10:53,DO,8.71
POSNW16,12/20/2018,10:53,SpCond,148.3
POSNW16,12/20/2018,10:53,pH,7.21
POSNW16,12/20/2018,10:53,Turb,16.3
HOGDN,12/20/2018,10:28,Temp,15.7
HOGDN,12/20/2018,10:28,DO_Sat,66.8
HOGDN,12/20/2018,10:28,DO,6.63
HOGDN,12/20/2018,10:28,SpCond,170.8
HOGDN,12/20/2018,10:28,pH,7.37
HOGDN,12/20/2018,10:28,Turb,2.73
TUM441,1/4/2019,11:28,Temp,21.9
TUM441,1/4/2019,11:28,DO_Sat,114.8
TUM441,1/4/2019,11:28,DO,10.05
TUM441,1/4/2019,11:28,SpCond,395.7
TUM441,1/4/2019,11:28,pH,8.16
TUM441,1/4/2019,11:28,Turb,4.85
SWB,1/4/2019,11:13,Temp,22.4
SWB,1/4/2019,11:13,DO_Sat,97.9
SWB,1/4/2019,11:13,DO,8.47
SWB,1/4/2019,11:13,SpCond,770
SWB,1/4/2019,11:13,pH,7.36
SWB,1/4/2019,11:13,Turb,1.06
HAT,1/4/2019,10:34,Temp,19.4
HAT,1/4/2019,10:34,DO_Sat,75.5
HAT,1/4/2019,10:34,DO,6.93
HAT,1/4/2019,10:34,SpCond,73.1
HAT,1/4/2019,10:34,pH,6.29
HAT,1/4/2019,10:34,Turb,1.2
HOGNW16,1/4/2019,9:51,Temp,20.4
HOGNW16,1/4/2019,9:51,DO_Sat,91.6
HOGNW16,1/4/2019,9:51,DO,8.26
HOGNW16,1/4/2019,9:51,SpCond,247.1
