Site,Date,Time,Analyte,Result
HOGNW16,2018-12-05,10:12:00,pH,7.87
HOGNW16,2018-09-14,13:25:00,pH,7.94
POSNW16,2019-01-18,09:39:00,pH,7.49
POSNW16,2019-01-25,10:14:00,pH,6.9
POSNW16,2019-01-04,09:38:00,pH,7.35
POSNW16,2018-10-18,11:55:00,pH,7.97
POSNW16,2018-10-31,10:15:00,pH,7.81
POSNW16,2018-11-13,11:54:00,pH,7.96
POSNW16,2018-11-29,11:30:00,pH,7.87
POSNW16,2018-11-08,13:10:00,pH,7.88
POSNW16,2018-12-20,10:53:00,pH,7.21
POSNW16,2018-12-05,09:59:00,pH,7.83
POSNW16,2019-02-06,12:33:00,pH,7.54
POSNW16,2018-09-14,12:55:00,pH,7.92
SWB,2019-01-18,11:27:00,pH,7.47
SWB,2019-01-25,11:57:00,pH,7.54
SWB,2019-01-04,11:13:00,pH,7.36
SWB,2018-10-18,10:13:00,pH,7.43
SWB,2018-10-31,12:21:00,pH,7.69
SWB,2018-11-13,13:44:00,pH,7.68
SWB,2018-11-29,13:15:00,pH,7.63
SWB,2018-11-08,11:30:00,pH,7.65
SWB,2018-12-20,12:37:00,pH,7.27
SWB,2018-12-05,11:40:00,pH,7.79
SWB,2019-02-06,14:35:00,pH,7.35
TUM441,2019-01-18,11:43:00,pH,8.62
TUM441,2019-01-25,12:12:00,pH,8.03
TUM441,2019-01-04,11:28:00,pH,8.16
TUM441,2018-10-18,09:36:00,pH,8.43
TUM441,2018-10-31,12:44:00,pH,8.71
TUM441,2018-11-13,14:05:00,pH,8.65
TUM441,2018-11-29,14:17:00,pH,8.46
TUM441,2018-11-08,11:11:00,pH,8.79
TUM441,2018-12-20,12:53:00,pH,7.91
TUM441,2018-12-05,11:47:00,pH,8.38
TUM441,2019-02-06,14:53:00,pH,8.54
TUM441,2018-09-14,09:45:00,pH,8.58
HAT,2019-01-18,10:38:00,SpCond,74.8
HAT,2019-01-25,11:13:00,SpCond,57.8
HAT,2019-01-04,10:34:00,SpCond,73.1
HAT,2018-10-18,10:55:00,SpCond,97.7
HAT,2018-10-31,11:32:00,SpCond,96.4
HAT,2018-11-13,12:54:00,SpCond,112.3
HAT,2018-11-29,12:37:00,SpCond,93.2
HAT,2018-11-08,12:18:00,SpCond,98
HAT,2018-12-20,11:51:00,SpCond,71.2
HAT,2018-12-05,10:54:00,SpCond,98.4
HAT,2019-02-06,13:41:00,SpCond,59.6
HAT,2018-09-14,11:06:00,SpCond,NA
HOGDN,2019-01-18,09:14:00,SpCond,254
HOGDN,2019-01-25,09:49:00,SpCond,137.9
HOGDN,2019-01-04,09:15:00,SpCond,235.6
HOGDN,2018-10-18,12:38:00,SpCond,291.9
HOGDN,2018-10-31,09:46:00,SpCond,290.7
HOGDN,2018-11-13,11:17:00,SpCond,271
HOGDN,2018-11-29,11:05:00,SpCond,258.3
HOGDN,2018-11-08,13:45:00,SpCond,293.3
HOGDN,2018-12-20,10:28:00,SpCond,170.8
HOGDN,2018-12-05,09:29:00,SpCond,214
HOGDN,2019-02-06,12:08:00,SpCond,227.3
HOGNW16,2019-01-18,09:59:00,SpCond,262.9
HOGNW16,2019-01-25,10:33:00,SpCond,162.1
HOGNW16,2019-01-04,09:51:00,SpCond,247.1
HOGNW16,2018-10-18,11:30:00,SpCond,290.2
HOGNW16,2018-10-31,10:36:00,SpCond,287
HOGNW16,2018-11-13,12:13:00,SpCond,287.7
HOGNW16,2018-11-29,11:47:00,SpCond,278.8
HOGNW16,2018-11-08,12:53:00,SpCond,288.4
HOGNW16,2018-12-20,11:11:00,SpCond,127.6
HOGNW16,2018-12-05,10:12:00,SpCond,257.8
HOGNW16,2018-09-14,13:25:00,SpCond,NA
POSNW16,2019-01-18,09:39:00,SpCond,257
POSNW16,2019-01-25,10:14:00,SpCond,164.4
POSNW16,2019-01-04,09:38:00,SpCond,249
POSNW16,2018-10-18,11:55:00,SpCond,284.4
POSNW16,2018-10-31,10:15:00,SpCond,286.5
