Site,Date,Time,Parameter,Result
TUM441,11/8/2018,11:11,OP,0.175
TUM441,11/8/2018,11:11,OP,0.171
TUM441,11/8/2018,11:11,OP,1.521
SWB,11/8/2018,11:30,OP,0.988
SWB,11/8/2018,11:30,OP,0.993
SWB,11/8/2018,11:30,OP,0.993
HAT,11/8/2018,12:18,OP,0.23
HAT,11/8/2018,12:18,OP,0.224
HAT,11/8/2018,12:18,OP,0.226
HOGNW16,11/8/2018,12:53,OP,0.605
HOGNW16,11/8/2018,12:53,OP,0.602
HOGNW16,11/8/2018,12:53,OP,0.6
POSNW16,11/8/2018,13:10,OP,0.972
POSNW16,11/8/2018,13:10,OP,0.913
POSNW16,11/8/2018,13:10,OP,1.003
HOGDN,11/8/2018,13:45,OP,0.815
HOGDN,11/8/2018,13:45,OP,0.805
HOGDN,11/8/2018,13:45,OP,0.808
TUM441,11/8/2018,11:11,NH4,0.2826
TUM441,11/8/2018,11:11,NH4,0.1468
TUM441,11/8/2018,11:11,NH4,0.3276
SWB,11/8/2018,11:30,NH4,0.0248
SWB,11/8/2018,11:30,NH4,0.1252
SWB,11/8/2018,11:30,NH4,0.1014
HAT,11/8/2018,12:18,NH4,0.1146
HAT,11/8/2018,12:18,NH4,0.0342
HAT,11/8/2018,12:18,NH4,0.077
HOGNW16,11/8/2018,12:53,NH4,0.1236
HOGNW16,11/8/2018,12:53,NH4,0.0526
HOGNW16,11/8/2018,12:53,NH4,0.0883
POSNW16,11/8/2018,13:10,NH4,0.1024
POSNW16,11/8/2018,13:10,NH4,0.0717
POSNW16,11/8/2018,13:10,NH4,0.0985
HOGDN,11/8/2018,13:45,NH4,0.1434
HOGDN,11/8/2018,13:45,NH4,0.1257
HOGDN,11/8/2018,13:45,NH4,0.116
TUM441,10/31/2018,12:44,Temp,23.3
TUM441,10/31/2018,12:44,DO_Sat,137
TUM441,10/31/2018,12:44,DO,11.69
TUM441,10/31/2018,12:44,SpCond,407.4
TUM441,10/31/2018,12:44,pH,8.71
TUM441,10/31/2018,12:44,Turb,0.7
SWB,10/31/2018,12:21,Temp,23.3
SWB,10/31/2018,12:21,DO_Sat,95.1
SWB,10/31/2018,12:21,DO,8.12
SWB,10/31/2018,12:21,SpCond,773.8
SWB,10/31/2018,12:21,pH,7.69
SWB,10/31/2018,12:21,Turb,1.1
HAT,10/31/2018,11:32,Temp,17.4
HAT,10/31/2018,11:32,DO_Sat,69.6
HAT,10/31/2018,11:32,DO,6.69
HAT,10/31/2018,11:32,SpCond,96.4
HAT,10/31/2018,11:32,pH,7.1
HAT,10/31/2018,11:32,Turb,1.6
