Site,Date,Analyte,Result
SWB,2/6/2019,Specific Conductance,580
SWB,2/20/2019,Nitrate-Nitrite (N),3.124
SWB,2/20/2019,Specific Conductance,646
SWB,3/22/2019,Nitrate-Nitrite (N),3.534666667
SWB,3/22/2019,Specific Conductance,756
SWB,4/3/2019,Nitrate-Nitrite (N),3.779333333
SWB,4/3/2019,Specific Conductance,639
SWB,4/24/2019,Nitrate-Nitrite (N),3.661
SWB,4/24/2019,Specific Conductance,814
SWB,5/7/2019,Nitrate-Nitrite (N),2.870333333
SWB,5/7/2019,Specific Conductance,673
SWB,5/24/2019,Nitrate-Nitrite (N),3.295
SWB,5/24/2019,Specific Conductance,787
SWB,6/6/2019,Nitrate-Nitrite (N),2.156666667
SWB,6/6/2019,Specific Conductance,693
SWB,6/18/2019,Nitrate-Nitrite (N),0.856666667
SWB,6/18/2019,Specific Conductance,298.4
SWB,7/9/2019,Nitrate-Nitrite (N),2.934333333
SWB,7/9/2019,Specific Conductance,725
SWB,7/29/2019,Specific Conductance,582
TUM441,9/14/2018,Nitrate-Nitrite (N),0.287333333
TUM441,10/18/2018,Nitrate-Nitrite (N),0.201333333
TUM441,10/18/2018,Specific Conductance,405.8
TUM441,10/31/2018,Nitrate-Nitrite (N),0.160333333
TUM441,10/31/2018,Specific Conductance,407.4
TUM441,11/8/2018,Nitrate-Nitrite (N),0.179
TUM441,11/8/2018,Specific Conductance,395.4
TUM441,11/13/2018,Nitrate-Nitrite (N),0.109666667
TUM441,11/13/2018,Specific Conductance,394.1
TUM441,11/29/2018,Nitrate-Nitrite (N),0.037333333
TUM441,11/29/2018,Specific Conductance,380.7
TUM441,12/5/2018,Nitrate-Nitrite (N),0.259666667
TUM441,12/5/2018,Specific Conductance,351.8
TUM441,12/20/2018,Nitrate-Nitrite (N),0.084333333
TUM441,12/20/2018,Specific Conductance,71.1
TUM441,1/4/2019,Nitrate-Nitrite (N),0.359333333
TUM441,1/4/2019,Specific Conductance,395.7
TUM441,1/18/2019,Nitrate-Nitrite (N),0.270333333
TUM441,1/18/2019,Specific Conductance,390.2
TUM441,1/25/2019,Nitrate-Nitrite (N),0.21
TUM441,1/25/2019,Specific Conductance,271.6
TUM441,2/6/2019,Nitrate-Nitrite (N),0.333333333
TUM441,2/6/2019,Specific Conductance,374.1
TUM441,2/20/2019,Nitrate-Nitrite (N),0.292333333
TUM441,2/20/2019,Specific Conductance,397.8
